Layer Name," Layer Number"," Layer Outline"," Notes"
Qiraat," 0"," The 10 canonical Quranic readings (القراءات العشر) - determines the broader reading tradition"," Most dominant layer - each Qiraah defines a complete reading system"
Narrations," 1"," Specific narrations/transmissions (الروايات) - each Qiraah has 2 primary narrations"," Smaller scope determined by Qiraah - e.g. Hafs and Shu'bah from Asim"
Edition Variants," 2"," Publisher-specific formatting differences"," Publication metadata"
Line Layout," 3"," Line-level composition and line breaks"," Fine-grained layout layer"
Page Layout," 4"," Page-level composition and pagination"," Physical layout layer"
Division Structure," 5"," Traditional organizational segments (Juz)"," Hizb"," Rub) for recitation scheduling"," Recitation scheduling layer"
Mushaf Structure," 6"," Complete manuscript text for each narration"," Complete Quran composition"
Qiraat Structure," 7"," Foundational metadata for Qiraat systems and narrations"," Recitation tradition metadata"
Surah Structure," 8"," Chapter metadata and organization (114 surahs)"," Chapter organization layer"
Verse Structure," 9"," Verse enumeration and boundaries - primary organizational unit"," Primary Quranic unit"
Sentence Structure," 10",Sentences Slices which is a group of words based on Grammatical composition or or Scholarily Decision,Sentences Slices (Groups of Words).," ibtida (starting) rules"," Grammatical layer (missing from QS-QIRAAT)"
Word Structure," 11"," Word boundaries and morphological composition - (Qiraat) "," Lexical unit layer"
Orthographic Systems - Uthmani," 12a"," Uthmani script (Rasm Uthmani) - traditional Quranic orthography"," Traditional script sub-layer (positioned between word and character layers)"
Orthographic Systems - Qiasy/Imla'i," 12b"," Modern standard Arabic orthography (Qiasy/Imla'i script)"," Modern script sub-layer (positioned between word and character layers)"
Character Paired Data," 13"," Relational metadata between characters (tajweed rules, "," idgham"," ikhfa relationships)"," Tajweed relationship layer"
Character Symbols and Rendering Data," 14"," Diacritical marks (tashkeel).",Tashkeel Symbols," and visual rendering rules"," Visual representation layer"
Character Composition," 15"," Base letter sequences with phonetic metadata - atomic units of Quranic text"," Core atomic layer - foundational text units"
Context Schema," 16"," Context parameters defining which version of each layer to use (HYPOTHETICAL)"," Meta-layer for versioning (RR-014)"
Layer Version Metadata," 17"," Metadata about specific versions of layers under specific contexts (HYPOTHETICAL)"," Version tracking meta-layer (RR-015)"
